HINBAN.CSV
"ïiî‘","çHíˆÉRÅ[Éh","êªïiãÊï™","èîå˚ãÊï™","éÂä«éñã∆èä","ï€ä«èÍèä","HinTanaNo","ïiñºó™èÃ","ïiñº","ïiñºÅi∂≈Åj","ïiñ⁄ÇP","ïiñ⁄ÇQ","è¡îÔê≈ïiñ⁄","åüç∏ïiñ⁄","íPà ÉRÅ[Éh","ì¸ÇËêî","ç´ïÔâ◊épÅiäOëïÅj","ç´ïÔâ◊épÅiì‡ëïÅj","ç´ïÔíPà ÅiäOëïÅj","ç´ïÔíPà Åiì‡ëïÅj","ê∂éYåvâÊóvî€ãÊï™","ç›å…åvè„ãÊï™","î≠íçì_ä«óùãÊï™","ÉLÉbÉgèoå…ãÊï™","î≠íçì_ç›å…êî","äÓèÄÅiïWèÄÅjç›å…êî","ÉXÉNÉâÉbÉvïiî‘","ÉXÉNÉâÉbÉvçHíˆÉRÅ[Éh","ÇjÇdÇxÅ|ÇmÇn","ç≈êVì¸å…ì˙","ç≈êVèoå…ì˙","îÃîÑó›åvêî","îıçl","ìoò^îNåéì˙","å¥âøåvéZÉtÉâÉO","çﬁéø","çﬁå˙","ïù","í∑Ç≥","óeêœ","î‰èd","íPèd","é©óRì¸óÕóìÇP","é©óRì¸óÕóìÇQ","é©óRì¸óÕóìÇR","é©óRì¸óÕóìÇS","é©óRì¸óÕóìÇT","é©óRì¸óÕóìÇU","é©óRì¸óÕóìÇV","é©óRì¸óÕóìÇW","é©óRì¸óÕóìÇX","é©óRì¸óÕóìÇPÇO","é©óRì¸óÕóìÇPÇP","é©óRì¸óÕóìÇPÇQ","é©óRì¸óÕóìÇPÇR","é©óRì¸óÕóìÇPÇS","é©óRì¸óÕóìÇPÇT","é©óRì¸óÕóìÇPÇU","é©óRì¸óÕóìÇPÇV","é©óRì¸óÕóìÇPÇW","é©óRì¸óÕóìÇPÇX","é©óRì¸óÕóìÇQÇO","íPèdåvéZï˚ñ@ãÊï™","ÉJÉâÅ[","èWñÒïiî‘","èWñÒçHíˆÉRÅ[Éh","¿ﬁ–∞ãÊï™","óLå¯ä˙å¿êîãÊï™","óLå¯ä˙å¿êî","í[êîèàóùãÊï™","è¨êîãÊï™","íIâµèâä˙íl","HinSeibanKBN","HinStateKBN","HinStateDay"
"G-1304CSOL","","1","","","","","1304C SOL","ÇPÇRÇOÇSÇb ÇìÇèÇå","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","42703","20200515","","0.000000","","20181225","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1341","","1","","","","","±Ÿ∑√ﬁ®±1341","ÉAÉãÉLÉfÉBÉAÇPÇRÇSÇP","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","42170","20200422","","0.000000","","20120529","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","9~6åéÅ®60~80Åé1h","","","","0","","","","","","0","","","","","",""
"G-14ML","","1","","","","","14ML","ÇPÇSÇlÇk","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40014","20200519","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1500","","1","","","","","SW-1500","ÇrÇvÅ|ÇPÇTÇOÇO","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40015","20200706","","0.000000","","20120731","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.1117","1.1169","1.1203","1.1254","1.1292","","","","","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1500-3","","1","","","","","HA1500-3","ÇgÇ`ÇPÇTÇOÇOÅ|ÇR","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40016","20200417","","0.000000","","20181123","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","çáäiLOT","","","","0","","","","","","0","","","","","",""
"G-1501","","1","","","","","HA1501","ÇgÇ`ÇPÇTÇOÇP","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40017","20170801","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1505","","1","","","","","HA1505","ÇgÇ`ÇPÇTÇOÇT","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41719","20200512","","0.000000","","20070516","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","çáäiLOT","","","","0","","","","","","0","","","","","",""
"G-16-141","","1","","","","","16-141","ÇPÇUÅ|ÇPÇSÇP","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40018","20200730","","0.000000","","20181123","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","9~6åéÅ®60~80Åé1h","","","","0","","","","","","0","","","","","",""
"G-17-806","","1","","","","","17-806","ÇPÇVÅ|ÇWÇOÇU","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40019","20200608","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"G-1800","","1","","","","","SW-1800","ÇrÇvÅ|ÇPÇWÇOÇO","","G0","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","40020","20191008","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","","","","","",""
