,品番,倉庫,ロットNo,在庫,注残
143,S6-UV700-U,大阪倉庫,21011581T,12.0,
144,S6-UV901K-U,土気倉庫,21022452T,10.0,
145,S6-UV901K-U,受注残,,,10.0
146,S6-UV9135-U,大阪倉庫,20120481T,1.0,
147,S6-UVPP3A-U,土気倉庫,21012002H,24.0,
148,S6-UVPP3A-U,大阪倉庫,20112431H,3.0,
149,S6-UVPP3A-U,受注残,,,5.0
150,S6-UVPP3B-U,土気倉庫,21012053T,20.0,
151,S6-UVPP3B-U,受注残,,,5.0
152,S6-UVT06-T,大阪倉庫,20101581T53,8.0,
153,S6-UVT06TK3-T,大阪倉庫,21021081T,6.0,
154,S6-UVT06TKORAK-T,大阪倉庫,20110281T,1.0,
155,S6-UVXK02-U,土気倉庫,20121603H,7.0,
156,S6-UVXK02-U,受注残,,,5.0
157,S6-UVZ01F-U,土気倉庫,20120452T,2.0,
158,S7-B-4-M,受注残,,,8.0
159,S7-B-M,受注残,,,5.0
160,S7-C-M,受注残,,,12.0
161,S7-IK50-M,本社倉庫,21021504H,8.0,
162,S7-PRSKA-CL,土気倉庫,21021904H,25.0,
163,S7-PRSKA-CL,受注残,,,25.0
164,S7-PRSKB-M,土気倉庫,21021903H,25.0,
165,S7-PRSKB-M,受注残,,,25.0
166,S7-STM1-M,本社倉庫,21021701H,15.0,
167,S7-STM30T2L-M,本社倉庫,20121706H,4.0,
168,S7-TDM1-M,土気倉庫,21020209H,15.0,
169,S7-TDM1-M,受注残,,,6.0
170,S7-TDM10-M,土気倉庫,20111908H,5.0,
171,S7-TDM10-M,土気倉庫,21021206H,15.0,
172,S8-5100-CL,本社倉庫,20102203H,5.0,
173,S8-5100M-CL,本社倉庫,21011901H,5.0,
174,S8-EE1S73-CL,受注残,,,10.0
175,S8-KD-TBR,受注残,,,3.0
176,S8-KU6-U,大阪倉庫,20101231H,1.0,
177,S9-3300-TH,本社倉庫,20072001H,2.0,
178,S9-A820-TH,土気倉庫,21012001H,19.0,
179,S9-A820-TH,受注残,,,6.0
180,S9-TL400-L,土気倉庫,20101907H,3.0,
181,S9-TL400-L,大阪倉庫,20101931H,2.0,
182,S9-TL400-L,受注残,,,5.0
183,S9-TL410-L,土気倉庫,20041531H,4.0,
184,S9-U100-TH,本社倉庫,21011805H,9.0,
185,S9-U100-TH,本社倉庫,21021103H,30.0,
186,S9-U100-TH,受注残,,,5.0
187,S9-U200-TH,土気倉庫,20121408H,10.0,
188,S9-U320-TH,本社倉庫,21021205H,5.0,
189,S9-U330-TH,土気倉庫,21011903H,7.0,
190,S9-U330-TH,大阪倉庫,20111910H,1.0,
191,S9-U390-TH,本社倉庫,20042804H,4.0,
192,S9-UL100-L,本社倉庫,20111306H,8.0,
193,S9-UL110-L,本社倉庫,20052103H,3.0,
194,S9-UL430-L,土気倉庫,21011453T,11.0,
195,S9-UR800-TH,土気倉庫,21012206H,5.0,
