事業所コード,相手先コード１,相手先名称１,郵便番号１,郵便番号２,住所１,ﾄｰﾙ距離,ﾄｰﾙ中継回数,ﾄｰﾙ行く行かない,新潟距離,新潟中継回数,新潟行く行かない,ｹｲﾋﾝ,顧客指定運送屋,輸出向先,得意先コード,納入先コード,西濃距離
566,T3760,株式会社　秩父イワサキ,369,1311,埼玉県秩父市長瀞町岩田７７０,150,1,,191,1,,-,無し,,T3760,,200
567,T3770,株式会社　小糸製作所　静岡工場,424,8764,静岡県静岡市清水区北脇５００番地,250,0,,248,0,,-,無し,,T3770,,250
568,T3780,豊田通商株式会社　浜松支店,430,7714,静岡県浜松市中区板屋町１１１－２,350,0,,328,0,,-,無し,,T3780,,350
569,T3780,株式会社　タキ倉庫　榛南営業所,421,0302,静岡県榛原郡吉田町川尻５４９－１,300,0,,270,0,,-,無し,,T3780,H195,300
570,T3780,九州南部化成株式会社,879,4414,大分県玖珠郡玖珠町大隈２１８,1250,1,,1384,2,,-,ﾄｰﾙ,,T3780,H196,815
571,T3790,株式会社　ＬＩＸＩＬ,479,8588,愛知県常滑市港町３－７７,450,0,,440,1,,-,新潟,,T3790,,500
572,T2880,西鉄物流株式会社　梱包センター,289,1602,千葉県山武郡芝山町菱田１１５５番地１,50,0,,49,1,,成田,無し,y,T2880,USF04,50
573,T0060,有限会社　静浦精工,422,8053,静岡県静岡市駿河区西中原２－１－３７,250,0,,248,0,,-,無し,,T0060,H197,250
574,T3800,株式会社　アペックス,192,0024,東京都八王子市宇津木町５２３番地１,150,0,,104,0,,-,無し,,T3800,,150
575,T3810,株式会社　シモダ,352,0011,埼玉県新座市野火止８－１－３４,100,0,,83,1,,-,無し,,T3810,,100
576,T3810,伊丹塗料株式会社,350,1328,埼玉県狭山市広瀬台２－７－１９,100,0,,131,0,,-,無し,,T3810,H198,150
577,T2900,西鉄物流株式会社　成田支店梱包営業所,289,1602,千葉県山武郡芝山町菱田１１５５番地１,50,0,,49,1,,成田,無し,y,T2900,USS03,50
578,T3780,小糸九州株式会社,849,0902,佐賀県佐賀市久保泉町大字上和泉,1500,1,,1338,1,-,-,ﾄｰﾙ,,T3780,H199,1400
579,T2880,西鉄物流株式会社　成田梱包営業所,289,1602,千葉県山武郡芝山町菱田１１５５番地１,50,0,,49,1,,成田,無し,y,T2880,GZS10,50
580,T3820,津田工業株式会社　本社機構,355,0812,埼玉県比企郡滑川町大字都２５－３５,150,1,,141,1,,-,無し,,T3820,,100
581,T3830,株式会社　スリードリーム,350,2203,埼玉県鶴ヶ島市大字上広谷４２７－１,100,0,,131,0,,-,無し,,T3830,,100
582,T3380,市光工業株式会社　厚木製造所,243,0214,神奈川県厚木市下古沢８５７,100,0,,107,0,,-,無し,,T3380,H200,150
583,T3820,津田工業株式会社　川里工場,365,0001,埼玉県鴻巣市赤城台362-28(川里工業団地),50,0,,119,0,,-,無し,,T3820,H201,100
584,大阪新規顧客,株式会社　アジア化成,614,8123,京都府八幡市下奈良名越18,540,0,,597,1,,-,無し,,大阪新規顧客,仮登録,650
585,T3830,株式会社　フクダコーポレーション,940,2045,新潟県長岡市西陵町２６７４－１８,350,1,,343,0,,-,新潟,,T3830,H202,350
586,T3740,西鉄物流株式会社　成田梱包営業所,289,1602,千葉県山武郡芝山町菱田１１５５番地１,50,0,,49,1,,成田,無し,y,T3740,THT02,50
587,T3840,株式会社　オウル・クラフト,223,0057,神奈川県横浜市港北区新羽町３３６－１,100,0,,88,0,,-,無し,,T3840,,100
588,T0100,有限会社　とやま工房,338,0005,埼玉県さいたま市中央区桜丘１－１１－１９,75,0,,93,0,,-,無し,,T0100,H205,100
589,T0060,カネナカ,421,0302,静岡県榛原郡吉田町川尻３４４８－９,300,0,,270,0,,-,無し,,T0060,H203,300
590,T0070,アサヒ精工株式会社,501,1106,岐阜県岐阜市石谷１１７７,500,0,,473,0,,-,西濃,,T0070,H206,500
591,T1210,日本通運株式会社　中部空港支店,479,0881,愛知県常滑市セントレア３－１２－４,450,0,,440,1,,愛知,新潟,y,T1210,GZK07,500
592,T1210,日本通運株式会社　中部空港支店,479,0881,愛知県常滑市セントレア３－１２－４,450,0,,440,1,,愛知,新潟,y,T1210,IDK06,500
593,T1210,安達包運倉庫株式会社,490,1444,愛知県海部郡飛島村木場１－９４－３,500,0,,435,0,,愛知,無し,y,T1210,PHH01,500
594,T1210,名港海運(株)西二区物流センター,490,1444,愛知県海部郡飛島村木場１－９４－３,500,0,,435,0,,愛知,無し,y,T1210,PHH02,500
595,T3850,株式会社　富士メタル,287,0105,千葉県香取郡栗源町沢１７６３,50,0,,112,1,,-,無し,,T3850,,50
596,T1210,日本通運株式会社　中部空港支店,479,0881,愛知県常滑市セントレア３－１２－４,450,0,,440,1,,愛知,新潟,y,T1210,INS16,500
597,T0070,メガロ化工株式会社,425,74,静岡県焼津市柳新屋３２９－３,250,0,,270,0,,-,無し,,T0070,H208,300
598,T1210,日本通運株式会社　中部空港支店,479,0881,愛知県常滑市セントレア３－１２－４,450,0,,440,1,,愛知,新潟,y,T1210,KCZ04,500
599,T3860,ペトロケミカルス株式会社,532,0011,大阪府大阪市淀川区西中島２丁目１１－３０,650,0,,628,0,,-,無し,,T3860,,650
600,T2880,株式会社　日祥物流,287,0242,千葉県成田市多良貝245-3031,50,0,,43,1,,成田,無し,y,T2880,INI02,50
601,T3870,アドフォクス株式会社,198,0036,東京都青梅市河辺町１０－６－１,150,0,,187,1,,-,無し,,T3870,,150
602,T3870,有限会社　カネバン　本社工場,198,0104,東京都西多摩郡奥多摩町丹三郎１５－２,150,1,,209,1,,-,新潟,,T3870,H209,150
603,T3670,ＡＴＥジャパン株式会社,332,0012,埼玉県川口市本町２－６－２５－１０２,50,0,,52,0,,-,無し,y,T3670,,100
604,T1210,安達包運倉庫株式会社,490,1444,愛知県海部郡飛島村木場１－９４－３,500,0,,435,0,,愛知,無し,y,T1210,IDK07,500
605,T1210,株式会社　スカイパッキング,289,2231,千葉県香取郡多古町飯笹字蛭ヶ谷３６－５,50,0,,112,1,,-,無し,y,T1210,INK12,50
606,T1210,日本通運株式会社,286,0825,千葉県成田市新泉３０,50,0,,43,1,,成田,無し,y,T1210,INN06,50
607,T1210,日本通運株式会社,286,0825,千葉県成田市新泉３０,50,0,,43,1,,成田,無し,y,T1210,INS15,50
608,T1210,安達包運倉庫株式会社,490,1444,愛知県海部郡飛島村木場１－９４－３,500,0,,435,0,,愛知,無し,y,T1210,SAH05,500
609,T3870,有限会社　カネコ真空,224,0023,神奈川県横浜市都筑区東山田４－３９－１６,100,0,,88,0,,-,無し,,T3870,H210,100
610,T3880,シナノア株式会社,474,0011,愛知県大府市横根町新江15番地20,450,0,,457,1,,-,西濃,,T3880,,450
611,T3880,リンナイ株式会社,480,0133,愛知県丹羽郡大口町替地３－１,450,0,,435,0,,,,,T3880,H211,450
612,T2880,株式会社　築港　横浜化学品センター,230,0053,神奈川県横浜市鶴見区大黒町９－１５,100,0,,88,0,,横浜,無し,y,T2880,INI03,100
613,T0060,有限会社　東海真空,422,8054,静岡県静岡市駿河区南安倍3丁目16-1,250,0,,248,0,,-,無し,,T0060,H212,250
614,T3890,株式会社　青山プラスチック塗装,224,0053,神奈川県横浜市都筑区池辺町３３７１,100,0,,88,0,,-,無し,,T3890,,100
615,T1210,安達包運倉庫株式会社,490,1444,愛知県海部郡飛島村木場１－９４－３,500,0,,435,0,,愛知,無し,y,T1210,THK10,500
616,T1210,安達包運倉庫株式会社,490,1444,愛知県海部郡飛島村木場１－９４－３,500,0,,435,0,,愛知,無し,y,T1210,THS05,500
617,T2880,株式会社朝日森　成田東部物流センター,287,0242,千葉県成田市多良貝２４５－１１３,50,0,,43,1,,成田,無し,y,T2880,USF05,50
